"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
15.028772698065,8.31489562755451,6.44503918942064,5.733688211767,7.95479804393835,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1
12.0576431742046,8.56520918430761,5.01289890264161,6.54398117214441,9.67358140624128,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
13.4744668480278,7.63568116351962,6.79881143965758,5.8600777760148,5.35670127370395,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0
14.3013285075136,8.16827199305408,6.53380130999722,7.13198518496938,8.3200452150777,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
14.3439606338628,8.22844128822908,9.28605676395819,5.23982222774066,6.29985042614862,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
12.9589118338854,6.32497708313167,6.62662856746465,6.06272283243015,8.7784551945515,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
13.653542146594,6.73016017302871,7.28521364857443,6.41151194227859,6.45344058633782,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
15.3153252632956,7.53107991535217,9.32224523392506,8.40341936913319,9.40181315061636,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
14.0726807558126,6.86255141743459,7.29295647703111,5.36995551432483,5.75970090110786,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
13.5448775279728,6.74281558720395,5.80426684697159,5.27893221587874,7.78490548022091,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
14.040453266671,5.58753649354912,9.39839350292459,7.9742906941101,6.28996870247647,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1
13.3639179196795,6.42099942662753,6.82296617305838,5.76948155765422,7.14431445812806,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
15.2287231970543,5.16155512072146,8.82078501163051,7.57292633643374,6.29583324654959,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
13.0972532579823,6.49702341412194,5.48630587756634,5.73342677438632,8.47509320359677,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0
12.9378427937832,6.47875991766341,6.47542813559994,7.14660729048774,9.54910339205526,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
14.8769040406871,5.54473821423016,8.76669358811341,8.83513364125974,8.12004683539271,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
14.4053564466341,5.72872421937063,8.20947753498331,9.05179492197931,9.11593844182789,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1
13.9429486417985,5.20999820088036,8.85027034208179,8.89875453780405,6.28824709914625,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
13.3028016223091,7.03163782251067,7.02685870695859,5.89553525904194,5.24772466742434,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1
15.352870273332,8.08191101066768,7.82689041341655,8.67026921245269,7.4907969974447,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
15.4532187825361,9.18836376164109,9.65290090884082,7.48430476756766,7.3154236166738,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
13.6460694868898,6.60652671940625,6.22749543515965,9.6177875273861,7.85726674948819,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1
11.6594825962445,5.86643315968104,5.20202095620334,8.10106853954494,6.94702466251329,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
14.8566143544737,8.02777885110117,8.59408133430406,9.17845609365031,5.07402898278087,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
12.8054177739679,6.08748469967395,5.1105639571324,8.22463538730517,8.03100697696209,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
15.6016700044928,8.34406646899879,9.56082691787742,8.58801382011734,5.80454225535505,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
14.7975839450006,9.14364220458083,5.21040649618953,9.23303881776519,8.40183140709996,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
13.9807824929599,5.98487355164252,9.48765729321167,7.58700458216481,7.61962176067755,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0
14.0065883550813,7.52146166283637,7.18504422926344,6.82843910879456,9.54497043625452,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1
14.0546782292495,7.57594685535878,7.70202446961775,8.62084805150516,9.13372751092538,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
14.639474663354,6.8419879116118,9.43630847963504,5.86036765598692,7.41534805623814,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
13.0902433158402,7.6500517281238,7.5700832111761,7.43251377600245,6.26493363059126,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
